videoWebUrl,submittedVideoUrl,input,cid,createTime,createTimeISO,text,diggCount,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,uid,uniqueId,avatarThumbnail,mentions,detailedMentions
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7600373477737054997,1769599862,2026-01-28T11:31:02.000Z,"KESIMPULAN
POLISI ngejar jambret = Naik Pangkat
WARGA BIASA ngejar jambret =Jadi Tersangka
Sudah hal biasa di negri indonesia",9714,False,False,,79.0,7468957420267275282,ayah6132025,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d1109531514d014f868dfc5516c808cc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=731df5e6&x-expires=1772265600&x-signature=rsVAvBulQEVUhO2zuMKdmq6a530%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7600356944440492818,1769596009,2026-01-28T10:26:49.000Z,kok bisa jadi Kapolres 🥺,4973,False,False,,112.0,7212599031717430290,bakulbumbon_,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/338e51278abab115fefb68860e6074fe~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=168da2fc&x-expires=1772265600&x-signature=DU4WPhYsznWkOOGXw2Mej9HKXZI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7611155949680018196,1772110348,2026-02-26T12:52:28.000Z,ancen polisine gabut,1,False,False,,0.0,7451631622052676614,bas.e.cilikno.ji,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/20fc1d3e1ca6152269ef61dca21ba414~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=00489fa4&x-expires=1772265600&x-signature=bj9MYue1dRUQSRFfEJ3417KR6Ro%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7600353561621824277,1769595229,2026-01-28T10:13:49.000Z,dari dulu itu polisi meras sama rakyat miskin sampek sekarang,7547,False,False,,20.0,7519095557659608082,sarmuji89,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/23577abca295a0d467a6e2688bb6d52c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a1490ee4&x-expires=1772265600&x-signature=%2FlCVeRZuiebxWINyPqQGH36IEEY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7600459975324615442,1769619998,2026-01-28T17:06:38.000Z,sesama jambret saling melindungi,12111,False,False,,293.0,7247410543597290497,achul.sibangsadz,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e1bcedef156c72c4ad9f22201572aad4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cdee35dc&x-expires=1772265600&x-signature=J0dBfcFZQgW8Rk%2Blqil2D6sVoTE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7600354623292146450,1769595471,2026-01-28T10:17:51.000Z,Pecat itu pak. Polresnya dan jaksa. Jangan di kasih jabatan lagi.,3838,False,False,,41.0,7578904128606913543,ms.hilmi.ridho,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d1de64de7758b1700b695996fb2a0307~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=92379c7c&x-expires=1772265600&x-signature=Lf3xH16rxD8mMSME95mgKIR928o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7600371852888851221,1769599486,2026-01-28T11:24:46.000Z,Ini gunanya di viralkan. Pecat tu kapolres,3782,False,False,,24.0,6838454191599830018,asal_asalan_saja,https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/8f45fca61c5b46ff293a5bc7f5020888~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=80471880&x-expires=1772265600&x-signature=FOBFcmWgTWWfo7%2Bov%2B1ps06ohso%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7600355812804903687,1769595926,2026-01-28T10:25:26.000Z,"dri dulu pak kmi sdh tdk heran,
polisi amplop, yg slh di bela yg benar di penjara",493,False,False,,16.0,6865995006990746625,rajawali74705,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a75f3403c8d1646b32f601b7ecbb70fb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d0e576a9&x-expires=1772265600&x-signature=NTjzoCD9fQeNByN7VB76KcXk9EA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7600546493787128592,1769640145,2026-01-28T22:42:25.000Z,lama-lama polisi kok jadi ngga ada manfaatnya ya,2796,False,False,,120.0,6961905915718681606,inue_ismanuel,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8589c7ec9e848c444bb030add35d9372~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=13ded1cb&x-expires=1772265600&x-signature=rvS6pzd6gSZKGxxo7AzfK607GDA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,https://www.tiktok.com/@kompascom/video/7600352037473193234,7601458007205217032,1769852371,2026-01-31T09:39:31.000Z,ngerihhh lama² hukum di negeri ini,5,False,False,,2.0,6744619689823552513,anakpulau164,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2ef3e0764339422ed39b8e9963cdccec~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1a6db456&x-expires=1772265600&x-signature=YZiWhov3W0rcWo6RJfl4dMrhBi0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
